serial_key,activation_key
80MLS-QTQTP-WEUI3-NTNH1,None
KGV1G-XNWIN-WOI7T-XOQG2,None
LJNED-CMEMU-CRI5C-NIAPS,None
XMT34-BLKRV-FEYRM-92IAT,None
FRTL4-USOHQ-PG1G3-BNFFK,None
Q2RPD-CC8YJ-DHO0J-PGYIO,None
ETJTR-XEMC8-FB6P1-W6YVY,None
I1RK5-P37VO-QY2HV-NJPHA,None
TDI0V-UNAGI-ZSJTQ-I0DA6,None
FL0EO-PKAHA-IYYTY-VW94E,None
S9RV9-MT1LZ-LWKVW-GJ080,None
PXAO2-DOVOR-6CEVP-M7MEY,None
EVJ4K-56JEN-9HT0L-HVMPH,None
P34PT-2KZCP-AOTOJ-NO8GQ,None
D36EI-SI4SE-JPLWK-BP6LS,None
ACOFH-3QTTQ-AKNXB-YFPCS,None
BWFPW-712SZ-V1WWD-3DYBW,None
NPU4B-HQ8JQ-O40U0-ZPWR5,None
VURKN-AT8GR-RZ5ZT-KLHNH,None
KBRBA-RZ5Y1-YELIM-H8QJI,None
46VDV-TCKJQ-XLKO3-5EN4H,None
JRRZZ-ATMMH-HEM0R-TLC6J,None
HSWKV-J8PI2-VUPAR-NULFH,None
GCTHL-9BWB9-HFPAC-FLYF2,None
OIGEX-JXCDL-FNB2X-2VAXK,None
A1NVR-OVNT9-RTFQE-8EGJX,None
B1H8R-2Q0FM-LCTEY-DPQHN,None
TPDTN-RKP8Y-KDHYK-VMG5G,None
GDDOF-PDS1D-R6S3L-SGS8P,None
KLMLT-Z96EF-LONHV-UXACB,None
ETB8S-54CLN-OSRBZ-PHULW,None
JRRLW-H1X6H-WHPJC-DNM47,None
QHMUG-EYCAQ-APJXW-GTID0,None
X85VI-AHTES-K5VPR-4X6NQ,None
AQAKR-K7PMP-LMGHO-3DWLT,None
MOZUN-G22CK-VQCBJ-8VYQO,None
HCNRH-SJILN-AHPZB-RLFNZ,None
MNTM9-LQAC7-MN1ZO-JNOPR,None
Y06YZ-YYNZU-SRMIV-IR0HT,None
I9RAM-PVZMO-JODE6-BWMHH,None
TGD4W-NTPXI-CRIMM-R1JQY,None
Z73TQ-ZV21F-9OSNR-J1QXB,None
BTRTB-RR4OL-RUXNO-0IIJH,None
8TIRD-NGX0M-NI2SV-XHPTL,None
TJYZ9-M3N2J-WPZVG-KVQ2I,None
CGFAR-NM5DG-YUFZG-CQ8DZ,None
B9CPF-O6UY5-OHCRA-I4PIQ,None
O2VPH-FY3NK-PYQLL-O6WXB,None
PDC8K-LCXQS-Z0QDC-9FDXY,None
BZZC1-G4EPD-ZO6OW-Q4FM0,None
1BJFO-WIXXL-LGA8C-OSN3F,None
XIYYO-FVQNU-LBUYM-EWYDC,None
IXBZR-VH2VC-9TR2W-R7E7Z,None
SYZ4Y-FUNKX-26VTX-DIMQL,None
FDHP4-KMYMI-HSAKJ-3ZCBS,None
ICZYE-BZVQN-ZVLW8-3HEU2,None
PGU6J-3ERPJ-KLHFB-WMJW6,None
DX2I0-OV4VD-MSUBV-YGY0N,None
0AKID-TLDSF-VA4CN-FLRPO,None
C1Q0D-SOWCF-IINII-CXBLP,None
DT8GQ-89KYA-V7UPG-F9KYF,None
VNUUT-2NUAX-QQMBX-DAPLD,None
AZZWA-W2UVS-0OWGH-SYAKS,None
QMMNB-FFA3Q-MCJAE-KHAGZ,None
UBVGY-CIEMI-1PRNB-UFWJI,None
ZQ3FR-MGKZK-ZXVHQ-CITDY,None
6M0KF-2VS8B-MDFZA-VNEL5,None
LGTO1-RC4XH-8NOBR-LEEHA,None
1QFY7-VLLX2-5XSHO-86POJ,None
IDYU2-570Z1-OM53X-YIOOF,None
5BSGS-PDGNC-HEKKN-MRYRK,None
XABWF-OZKCK-UVGZE-KGNLJ,None
TMBPL-CGIGU-AZIJL-4VIZD,None
B5N9M-QMCAP-RZDXC-MN0C4,None
W59JY-FSNEN-HYETZ-MODTH,None
CXH9B-KEWJX-O6IXG-ISKCW,None
2PBS3-XK4WZ-Y2OWO-YZLBS,None
KVHO6-SEEHL-5RWBG-TOIOL,None
FQWBI-0FHSI-VWFQB-TNNMR,None
CTS8S-CZHUH-MXPMF-SGNEX,None
U0GH8-GXXTZ-8QS22-ZFIQR,None
KHRE0-QVKZ3-TYUCZ-PAD00,None
IVTFP-4FG7R-5Q5HK-XXCCB,None
DZYRK-FKFGQ-RXI7O-BZ2A1,None
WDRSH-9UBX1-XXUWI-EGYQQ,None
Y3LGX-HLHXP-IC2TB-XF1LO,None
ELBH1-XIMAK-6ZOOM-AS9BI,None
DZJIQ-MNWEM-HGPZS-9O7TG,None
GAX5E-VB718-I7YEE-BFRE8,None
DJXEP-IFKMW-PTQHW-YJ5FU,None
8PMEI-PE6TD-Z3PAF-ZB0ZC,None
NBBSN-HEITV-SL0NK-DQNRC,None
WC3P3-LYX6E-K7D2V-J3OJK,None
I2VH7-8K1TL-2CGKY-KUC3T,None
T5PPS-4OLZ7-M8PID-2A298,None
E3KIV-VGOVK-G8I9X-PW8GT,NDE56-sdh56-45JM6-K56K4-Kaa15
62UII-NORYF-BNEKM-FIYVS,None
JZWIF-K2FJA-FS8KL-YQXAV,None
UVIHN-JFC7O-FRAUF-WHXGQ,None
2FMKM-FZF2E-OZR3S-35JEB,None
LNZH7-WBJIE-RR7GW-EMBUV,None
K5VOD-MAARD-JBI6R-BIY96,None
DUTLS-IJV0V-AVKUG-QJLNZ,None
VMEUC-PPYNM-HXTGY-PVEV0,None
FKXZG-CCVE2-UD8BN-CC0HZ,None
ZQASI-G9DY9-7Y7VW-QFQWG,None
3A2BP-U5Q7Y-WYSC1-GOJFU,None
VWTCD-ZR9HV-1RDSC-UXIMU,None
WSPXV-TZPB2-DQKS7-5BQPB,None
C9EXU-PS8K8-JYN5H-TE3B9,None
RPQBR-APJD3-KGFRS-40K3Q,None
HYTAG-HJURA-SC7IU-EJKZM,None
MUP4E-V23AE-HPZ4B-LW6LP,None
NA7GU-QJZ8F-J8VJQ-VEWVF,None
JNWAM-L0QVW-7SH63-XPK81,None
MQTUN-YTI1V-YOVBH-XZTIV,None
UGVRD-ZDFU0-3MVW2-P9XWB,None
E56EY-AOUFA-W7APR-HHFUJ,None
IUSI8-GTE1G-KAODP-JRK8S,None
OVP49-75B7U-KMIUL-FOWTR,None
QZR39-O5VBV-MAV24-XONI7,None
WZYYO-LM1WG-1JLVS-MYPNR,None
MGDWK-RL5LL-CCBIN-SLUSE,None
3G5RI-ZJJAR-4RZV1-70WUD,None
LNLZH-AQIKW-IE16H-U7T6B,None
B0ZKW-S61VM-DSPR9-HQPAL,None
EA37Y-DCKXL-BQLN0-JLNPF,None
HB974-EHYWU-O74HE-KQLOJ,None
O9ZSM-CB1NK-T3E6Q-IBA7H,None
MPGKE-UTFKJ-YOVFK-BFHBL,None
PDJRH-BZIXO-LEOHN-MHOFY,None
HUYFI-F19NE-ZXD1Q-PP8M5,None
QNJEO-EPV14-OY9SS-LTZOW,None
NHPGW-D3XH5-KRRCS-ZQUBH,None
6SEUT-GPFI8-GXLMF-HECRC,None
3DTEC-U2JFK-DJUVY-SXZHS,None
THXXI-H2Q7G-QN4BC-3XSC0,None
J4ZP4-UGUBI-LPWCG-YQ3IO,None
KWBJA-T3ZUX-5OF0H-B0KLV,None
XDQCT-ILTFG-ZCWCT-PJYEW,None
PSGUN-L5ZFS-PY9NI-J2YVW,None
EKTLI-4XAJC-52RUW-FZOJW,None
O5O1T-ACMWN-9AF7G-BSPIM,None
C00PM-Y1HO4-VV1AM-GPU4S,None
